text,label
"The government announced a new tax reform today.",1
"Scientific study proves that cows can fly using magic dust.",0
"Local sports team wins the championship in a close game.",1
"Drinking radioactive water gives you super strength.",0
text,label
"The government announced a new tax reform today.",1
"Scientific study proves that cows can fly using magic dust.",0
"Local sports team wins the championship in a close game.",1
"Drinking radioactive water gives you super strength.",0
"A new hospital is opening in the city center next month.",1
"Aliens have taken over the moon and are building a mall.",0
"Stock market reaches an all-time high amid economic growth.",1
"Eating chocolate for every meal makes you invisible.",0
"NASA discovers a new planet in a nearby star system.",1
"The sun will turn blue tomorrow according to a TikTok leak.",0
"Federal Reserve raises interest rates to combat inflation.",1
"Secret government rays are turning all grass into plastic.",0
"Scientists develop a more efficient solar panel technology.",1
"Magic crystals can heal broken bones in five minutes.",0
"The city council approves the construction of a new park.",1
"Global leaders are secretly lizards living underground.",0
"New study links Mediterranean diet to better heart health.",1
"Using your phone at night causes your brain to melt.",0
"Olympic Games to be held in Paris this coming summer.",1
"A man grew a working helicopter out of his backyard garden.",0
"Researchers find ancient ruins in the Amazon rainforest.",1
"The ocean is actually made of blue Gatorade, study finds.",0
"Tech company releases new smartphone with 3-day battery.",1
"Vaccines contain tiny robots that control your music taste.",0
"Automobile industry shifts focus toward electric vehicles.",1
"Drinking vinegar before bed lets you speak to ghosts.",0
"World Health Organization monitors new flu strain.",1
"The Eiffel Tower was actually built by time travelers.",0
"Major bank reports record profits for the third quarter.",1
"Lions in Africa are starting to learn how to drive cars.",0
"Artificial intelligence is being used to improve surgery.",1
"If you yell at water it turns into expensive diamonds.",0
"A new high-speed rail line will connect the two capitals.",1
"Clouds are actually giant marshmallows made by big food.",0
"Education department introduces new coding curriculum.",1
"A secret island exists where dinosaurs are still alive.",0
"Global trade agreement signed by twenty major nations.",1
"Gravity will be turned off for two hours this Sunday.",0
"Agriculture department predicts a surplus in wheat crop.",1
"Bananas are actually sophisticated tracking devices.",0
"Cybersecurity experts warn of new phishing scam trends.",1
"The moon is a giant hollow egg about to hatch.",0
"Rare bird species rediscovered in the remote mountains.",1
"Putting salt in your shoes helps you run at 100mph.",0
"Local library expands its digital collection for users.",1
"The internet was invented by cats to get more attention.",0
"International Space Station welcomes three new crew members.",1
"Gold is actually dried sunlight that fell from the sky.",0
"New bridge construction completed ahead of schedule.",1
"Trees are spying on us using their leaves as cameras.",0
